organization_name,organization_abbr,organization_type,person_official_id,person_name,membership_type,start_date,end_date
Delegation for Relations with Belarus,D-BY,Delegation,96697,Waldemar TOMASZEWSKI,Vice-Chair,2019-09-26,
Delegation for Relations with Belarus,D-BY,Delegation,96697,Waldemar TOMASZEWSKI,Member,2019-07-02,2019-09-25
Committee on Regional Development,REGI,Committee,96697,Waldemar TOMASZEWSKI,Member,2019-07-02,2022-01-19
Delegation to the Euronest Parliamentary Assembly,DEPA,Delegation,96697,Waldemar TOMASZEWSKI,Member,2019-07-02,
Committee on Regional Development,REGI,Committee,96697,Waldemar TOMASZEWSKI,Member,2022-01-20,
Subcommittee on Human Rights,DROI,Subcommittee,96697,Waldemar TOMASZEWSKI,Substitute,2019-07-02,2022-01-19
Committee on Development,DEVE,Committee,96697,Waldemar TOMASZEWSKI,Substitute,2019-07-04,2022-01-19
Committee on Development,DEVE,Committee,96697,Waldemar TOMASZEWSKI,Substitute,2022-01-20,
Subcommittee on Human Rights,DROI,Subcommittee,96697,Waldemar TOMASZEWSKI,Substitute,2022-01-20,
Committee on Employment and Social Affairs,EMPL,Committee,125104,Romana TOMC,Vice-Chair,2022-01-24,
Committee on Employment and Social Affairs,EMPL,Committee,125104,Romana TOMC,Member,2019-07-02,2022-01-19
Delegation for Northern Cooperation and for Relations with Switzerland and Norway and to the EU-Iceland Joint Parliamentary Committee and the European Economic Area Joint Parliamentary Committee,DEEA,Delegation,125104,Romana TOMC,Member,2019-07-02,
Committee on Employment and Social Affairs,EMPL,Committee,125104,Romana TOMC,Member,2022-01-20,2022-01-23
Committee on the Internal Market and Consumer Protection,IMCO,Committee,125104,Romana TOMC,Substitute,2019-07-02,2022-01-19
"Delegation to the EU-Kazakhstan, EU-Kyrgyzstan, EU-Uzbekistan and EU-Tajikistan Parliamentary Cooperation Committees and for Relations with Turkmenistan and Mongolia",DCAS,Delegation,125104,Romana TOMC,Substitute,2019-07-02,
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,125104,Romana TOMC,Substitute,2020-02-11,2022-01-19
Committee on the Internal Market and Consumer Protection,IMCO,Committee,125104,Romana TOMC,Substitute,2022-01-20,
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,125104,Romana TOMC,Substitute,2022-01-20,
Committee on Petitions,PETI,Committee,124700,Yana TOOM,Vice-Chair,2019-07-10,2022-01-19
Committee on Petitions,PETI,Committee,124700,Yana TOOM,Vice-Chair,2022-01-20,
Committee on Petitions,PETI,Committee,124700,Yana TOOM,Member,2019-07-02,2019-07-09
Committee on Employment and Social Affairs,EMPL,Committee,124700,Yana TOOM,Member,2019-07-02,2021-02-08
Delegation to the EU-Russia Parliamentary Cooperation Committee,D-RU,Delegation,124700,Yana TOOM,Member,2019-07-02,
Committee on Regional Development,REGI,Committee,124700,Yana TOOM,Member,2021-02-08,2022-01-19
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,124700,Yana TOOM,Member,2022-01-20,
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,124700,Yana TOOM,Substitute,2019-07-02,2022-01-19
Delegation for Relations with Iraq,D-IQ,Delegation,124700,Yana TOOM,Substitute,2019-07-02,
Committee on Legal Affairs,JURI,Committee,124700,Yana TOOM,Substitute,2021-01-22,2022-01-19
Committee on Regional Development,REGI,Committee,124700,Yana TOOM,Substitute,2022-01-20,
Committee on Legal Affairs,JURI,Committee,124700,Yana TOOM,Substitute,2022-01-20,
Committee of Inquiry to Investigate the Use of Pegasus and Equivalent Surveillance Spyware,PEGA,Special Committee,124700,Yana TOOM,Substitute,2022-03-24,2023-07-18
Committee on Budgets,BUDG,Committee,114268,Nils TORVALDS,Member,2019-07-02,2022-01-19
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,114268,Nils TORVALDS,Member,2019-07-02,2022-01-19
Delegation to the EU-Russia Parliamentary Cooperation Committee,D-RU,Delegation,114268,Nils TORVALDS,Member,2019-07-02,
Committee on Budgets,BUDG,Committee,114268,Nils TORVALDS,Member,2022-01-20,
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,114268,Nils TORVALDS,Member,2022-01-20,
"Committee on Industry, Research and Energy",ITRE,Committee,114268,Nils TORVALDS,Substitute,2019-07-02,2022-01-19
Delegation for Relations with the United States,D-US,Delegation,114268,Nils TORVALDS,Substitute,2019-07-02,
"Committee on Industry, Research and Energy",ITRE,Committee,114268,Nils TORVALDS,Substitute,2022-01-20,
"Committee on Industry, Research and Energy",ITRE,Committee,96713,Evžen TOŠENOVSKÝ,Member,2019-07-02,2022-01-19
Delegation for Relations with Japan,D-JP,Delegation,96713,Evžen TOŠENOVSKÝ,Member,2019-07-02,
"Committee on Industry, Research and Energy",ITRE,Committee,96713,Evžen TOŠENOVSKÝ,Member,2022-01-20,
Committee on the Internal Market and Consumer Protection,IMCO,Committee,96713,Evžen TOŠENOVSKÝ,Substitute,2019-07-02,2022-01-19
Delegation for Relations With the Korean Peninsula,DKOR,Delegation,96713,Evžen TOŠENOVSKÝ,Substitute,2019-07-02,
Special Committee on Artificial Intelligence in a Digital Age,AIDA,Special Committee,96713,Evžen TOŠENOVSKÝ,Substitute,2020-09-14,2022-03-23
Committee on Transport and Tourism,TRAN,Committee,96713,Evžen TOŠENOVSKÝ,Substitute,2022-01-20,
Special Committee on Artificial Intelligence in a Digital Age,AIDA,Special Committee,27714,Edina TÓTH,Vice-Chair,2020-09-23,2021-03-04
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,27714,Edina TÓTH,Member,2019-07-02,2021-03-04
Delegation for Relations with the Arab Peninsula,DARP,Delegation,27714,Edina TÓTH,Member,2019-07-02,2021-03-04
Special Committee on Artificial Intelligence in a Digital Age,AIDA,Special Committee,27714,Edina TÓTH,Member,2020-09-14,2020-09-22
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,27714,Edina TÓTH,Member,2021-09-16,2022-01-19
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,27714,Edina TÓTH,Member,2022-01-20,
Delegation for Relations with the Arab Peninsula,DARP,Delegation,27714,Edina TÓTH,Member,2022-02-17,
Subcommittee on Public Health,SANT,Subcommittee,27714,Edina TÓTH,Member,2023-03-15,
"Committee on Industry, Research and Energy",ITRE,Committee,27714,Edina TÓTH,Substitute,2019-07-02,2021-03-04
Committee on the Internal Market and Consumer Protection,IMCO,Committee,27714,Edina TÓTH,Substitute,2019-07-02,2021-03-04
Committee on the Internal Market and Consumer Protection,IMCO,Committee,27714,Edina TÓTH,Substitute,2022-01-20,
Delegation for Relations with Canada,D-CA,Delegation,27714,Edina TÓTH,Substitute,2022-02-17,
Special Committee on the COVID-19 Pandemic Lessons Learned and Recommendations for the Future,COVI,Special Committee,27714,Edina TÓTH,Substitute,2022-03-24,2023-07-18
"Committee on Industry, Research and Energy",ITRE,Committee,97236,Marie TOUSSAINT,Member,2019-07-02,2022-01-19
Delegation for Relations with the United States,D-US,Delegation,97236,Marie TOUSSAINT,Member,2019-07-02,
Delegation to the Euro-Latin American Parliamentary Assembly,DLAT,Delegation,97236,Marie TOUSSAINT,Member,2019-07-02,
Committee on Legal Affairs,JURI,Committee,97236,Marie TOUSSAINT,Member,2020-02-10,2022-01-19
"Committee on Industry, Research and Energy",ITRE,Committee,97236,Marie TOUSSAINT,Member,2022-01-20,
Committee on Legal Affairs,JURI,Committee,97236,Marie TOUSSAINT,Member,2022-01-20,
Committee on Legal Affairs,JURI,Committee,97236,Marie TOUSSAINT,Substitute,2019-07-02,2020-02-09
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,97236,Marie TOUSSAINT,Substitute,2019-07-02,2022-01-19
Delegation for Relations with the Countries of the Andean Community,DAND,Delegation,97236,Marie TOUSSAINT,Substitute,2019-07-02,2022-09-06
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,97236,Marie TOUSSAINT,Substitute,2022-01-20,
"Committee on Industry, Research and Energy",ITRE,Committee,197580,Isabella TOVAGLIERI,Member,2019-07-02,2022-01-19
Committee on Women’s Rights and Gender Equality,FEMM,Committee,197580,Isabella TOVAGLIERI,Member,2019-07-02,2022-01-19
Delegation for Relations with South Africa,D-ZA,Delegation,197580,Isabella TOVAGLIERI,Member,2019-07-02,
"Committee on Industry, Research and Energy",ITRE,Committee,197580,Isabella TOVAGLIERI,Member,2022-01-20,
Committee on Women’s Rights and Gender Equality,FEMM,Committee,197580,Isabella TOVAGLIERI,Member,2022-01-20,
Delegation for Relations with the Mashreq countries,DMAS,Delegation,197580,Isabella TOVAGLIERI,Substitute,2019-07-02,
Committee on the Internal Market and Consumer Protection,IMCO,Committee,197580,Isabella TOVAGLIERI,Substitute,2020-02-10,2022-01-19
Committee on the Internal Market and Consumer Protection,IMCO,Committee,197580,Isabella TOVAGLIERI,Substitute,2022-01-20,
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,197593,Véronique TRILLET-LENOIR,Member,2019-07-02,2022-01-19
Delegation for Relations with the People's Republic of China,D-CN,Delegation,197593,Véronique TRILLET-LENOIR,Member,2019-07-02,2023-08-09
Special Committee on Beating Cancer,BECA,Special Committee,197593,Véronique TRILLET-LENOIR,Member,2020-09-14,2022-03-23
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,197593,Véronique TRILLET-LENOIR,Member,2022-01-20,2023-08-09
Special Committee on the COVID-19 Pandemic Lessons Learned and Recommendations for the Future,COVI,Special Committee,197593,Véronique TRILLET-LENOIR,Member,2022-03-24,2023-07-18
Subcommittee on Public Health,SANT,Subcommittee,197593,Véronique TRILLET-LENOIR,Member,2023-03-15,2023-08-09
Committee on Employment and Social Affairs,EMPL,Committee,197593,Véronique TRILLET-LENOIR,Substitute,2019-07-02,2022-01-19
Delegation to the EU-Russia Parliamentary Cooperation Committee,D-RU,Delegation,197593,Véronique TRILLET-LENOIR,Substitute,2019-07-02,2023-08-09
Committee on Employment and Social Affairs,EMPL,Committee,197593,Véronique TRILLET-LENOIR,Substitute,2022-01-20,2023-08-09
Committee on Constitutional Affairs,AFCO,Committee,197894,László TRÓCSÁNYI,Member,2019-07-02,2021-03-04
"Delegation for Relations with the Maghreb countries and the Arab Maghreb Union, including the EU-Morocco, EU-Tunisia and EU-Algeria Joint Parliamentary Committees",DMAG,Delegation,197894,László TRÓCSÁNYI,Member,2019-07-02,2021-03-04
Committee on International Trade,INTA,Committee,197894,László TRÓCSÁNYI,Member,2021-09-16,2022-01-19
Committee on Constitutional Affairs,AFCO,Committee,197894,László TRÓCSÁNYI,Member,2022-01-20,
Delegation for Relations with the Mashreq countries,DMAS,Delegation,197894,László TRÓCSÁNYI,Member,2022-02-17,
Committee on Petitions,PETI,Committee,197894,László TRÓCSÁNYI,Substitute,2019-07-02,2019-07-03
Committee on Foreign Affairs,AFET,Committee,197894,László TRÓCSÁNYI,Substitute,2019-07-02,2021-03-04
Committee on Economic and Monetary Affairs,ECON,Committee,197894,László TRÓCSÁNYI,Substitute,2021-09-29,2022-01-19
Committee on Foreign Affairs,AFET,Committee,197894,László TRÓCSÁNYI,Substitute,2022-01-20,
Delegation to the EU-Türkiye Joint Parliamentary Committee,D-TR,Delegation,197894,László TRÓCSÁNYI,Substitute,2022-02-17,
Special Committee on Artificial Intelligence in a Digital Age,AIDA,Special Committee,197665,Dragoş TUDORACHE,Chair,2020-09-23,2022-03-23
Delegation for Relations with Israel,D-IL,Delegation,197665,Dragoş TUDORACHE,Member,2019-07-02,2020-02-11
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,197665,Dragoş TUDORACHE,Member,2019-07-02,2022-01-19
"Delegation for Relations with Bosnia and Herzegovina, and Kosovo",DSEE,Delegation,197665,Dragoş TUDORACHE,Member,2019-07-02,
Delegation for Relations with the United States,D-US,Delegation,197665,Dragoş TUDORACHE,Member,2020-02-12,
Special Committee on Artificial Intelligence in a Digital Age,AIDA,Special Committee,197665,Dragoş TUDORACHE,Member,2020-09-14,2020-09-22
Conference of Committee Chairs,CCC,Political Body,197665,Dragoş TUDORACHE,Member,2020-09-23,2022-03-23
Committee on Foreign Affairs,AFET,Committee,197665,Dragoş TUDORACHE,Member,2022-01-20,
Committee of Inquiry to Investigate the Use of Pegasus and Equivalent Surveillance Spyware,PEGA,Special Committee,197665,Dragoş TUDORACHE,Member,2022-03-24,2023-07-18
Committee on Foreign Affairs,AFET,Committee,197665,Dragoş TUDORACHE,Substitute,2019-07-02,2022-01-19
Subcommittee on Security and Defence,SEDE,Subcommittee,197665,Dragoş TUDORACHE,Substitute,2019-07-02,2022-01-19
Delegation for Relations with the People's Republic of China,D-CN,Delegation,197665,Dragoş TUDORACHE,Substitute,2019-07-02,
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,197665,Dragoş TUDORACHE,Substitute,2022-01-20,
Subcommittee on Security and Defence,SEDE,Subcommittee,197665,Dragoş TUDORACHE,Substitute,2022-01-20,
Committee on International Trade,INTA,Committee,198183,Mihai TUDOSE,Member,2019-07-02,2022-01-19
Delegation to the EU-Moldova Parliamentary Association Committee,D-MD,Delegation,198183,Mihai TUDOSE,Member,2019-07-02,
Committee on Constitutional Affairs,AFCO,Committee,198183,Mihai TUDOSE,Member,2020-07-09,2021-11-21
Committee on International Trade,INTA,Committee,198183,Mihai TUDOSE,Member,2022-01-20,
Committee on Economic and Monetary Affairs,ECON,Committee,198183,Mihai TUDOSE,Substitute,2019-07-02,2022-01-19
Delegation to the EU-North Macedonia Joint Parliamentary Committee,D-MK,Delegation,198183,Mihai TUDOSE,Substitute,2019-07-02,
"Committee on Industry, Research and Energy",ITRE,Committee,198183,Mihai TUDOSE,Substitute,2020-02-10,2022-01-19
"Special Committee on Foreign Interference in all Democratic Processes in the European Union, including Disinformation",INGE,Special Committee,198183,Mihai TUDOSE,Substitute,2020-09-14,2022-03-23
Committee on Constitutional Affairs,AFCO,Committee,198183,Mihai TUDOSE,Substitute,2021-11-22,2022-01-19
Committee on Constitutional Affairs,AFCO,Committee,198183,Mihai TUDOSE,Substitute,2022-01-20,2023-07-25
Committee on Economic and Monetary Affairs,ECON,Committee,198183,Mihai TUDOSE,Substitute,2022-01-20,
"Committee on Industry, Research and Energy",ITRE,Committee,198183,Mihai TUDOSE,Substitute,2022-01-20,
Subcommittee on Tax Matters,FISC,Subcommittee,198183,Mihai TUDOSE,Substitute,2022-02-02,
"Special Committee on Foreign Interference in All Democratic Processes in the European Union, Including Disinformation, and the Strengthening of Integrity, Transparency and Accountability in the European Parliament",ING2,Special Committee,198183,Mihai TUDOSE,Substitute,2022-03-24,2023-08-12
Subcommittee on Security and Defence,SEDE,Subcommittee,198183,Mihai TUDOSE,Substitute,2023-07-26,
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,197763,Milan UHRÍK,Member,2019-07-02,2022-01-19
Delegation to the EU-Türkiye Joint Parliamentary Committee,D-TR,Delegation,197763,Milan UHRÍK,Member,2019-07-02,
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,197763,Milan UHRÍK,Member,2022-01-20,
Committee on Foreign Affairs,AFET,Committee,197763,Milan UHRÍK,Substitute,2019-07-02,2022-01-19
Delegation for Relations with the United States,D-US,Delegation,197763,Milan UHRÍK,Substitute,2019-07-02,2023-01-31
Delegation to the EU-Russia Parliamentary Cooperation Committee,D-RU,Delegation,197763,Milan UHRÍK,Substitute,2019-11-06,
Committee on Foreign Affairs,AFET,Committee,197763,Milan UHRÍK,Substitute,2022-01-20,
Committee on Transport and Tourism,TRAN,Committee,124705,István UJHELYI,Vice-Chair,2019-07-10,2019-11-05
Committee on Transport and Tourism,TRAN,Committee,124705,István UJHELYI,Vice-Chair,2019-11-06,2022-01-19
Committee on Transport and Tourism,TRAN,Committee,124705,István UJHELYI,Vice-Chair,2022-01-20,
Committee on Transport and Tourism,TRAN,Committee,124705,István UJHELYI,Member,2019-07-02,2019-07-09
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,124705,István UJHELYI,Substitute,2019-07-02,2022-01-19
Delegation for Relations with the People's Republic of China,D-CN,Delegation,124705,István UJHELYI,Substitute,2019-07-02,
Committee of Inquiry on the Protection of Animals During Transport,ANIT,Special Committee,124705,István UJHELYI,Substitute,2020-06-19,2021-12-19
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,124705,István UJHELYI,Substitute,2022-01-20,
Subcommittee on Public Health,SANT,Subcommittee,124705,István UJHELYI,Substitute,2023-03-15,
Committee on Development,DEVE,Committee,131507,Miguel URBÁN CRESPO,Member,2019-07-02,2022-01-19
Subcommittee on Human Rights,DROI,Subcommittee,131507,Miguel URBÁN CRESPO,Member,2019-07-02,2022-01-19
Delegation for Relations with Mercosur,DMER,Delegation,131507,Miguel URBÁN CRESPO,Member,2019-07-02,
Delegation to the Euro-Latin American Parliamentary Assembly,DLAT,Delegation,131507,Miguel URBÁN CRESPO,Member,2019-07-02,
Committee on Development,DEVE,Committee,131507,Miguel URBÁN CRESPO,Member,2022-01-20,
Subcommittee on Human Rights,DROI,Subcommittee,131507,Miguel URBÁN CRESPO,Member,2022-01-20,
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,131507,Miguel URBÁN CRESPO,Substitute,2019-07-02,2022-01-19
Delegation for Relations with the Federative Republic of Brazil,D-BR,Delegation,131507,Miguel URBÁN CRESPO,Substitute,2019-07-02,
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,131507,Miguel URBÁN CRESPO,Substitute,2022-01-20,
Committee on Economic and Monetary Affairs,ECON,Committee,124972,Ernest URTASUN,Member,2019-07-02,2022-01-19
Committee on Women’s Rights and Gender Equality,FEMM,Committee,124972,Ernest URTASUN,Member,2019-07-02,2022-01-19
Delegation for Relations With Iran,D-IR,Delegation,124972,Ernest URTASUN,Member,2019-07-02,
Subcommittee on Tax Matters,FISC,Subcommittee,124972,Ernest URTASUN,Member,2020-09-14,2022-01-19
Committee on Economic and Monetary Affairs,ECON,Committee,124972,Ernest URTASUN,Member,2022-01-20,
Subcommittee on Tax Matters,FISC,Subcommittee,124972,Ernest URTASUN,Member,2022-01-20,
Committee on Foreign Affairs,AFET,Committee,124972,Ernest URTASUN,Substitute,2019-07-02,2022-01-19
Delegation for Relations with the Arab Peninsula,DARP,Delegation,124972,Ernest URTASUN,Substitute,2019-07-02,
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,124972,Ernest URTASUN,Substitute,2019-07-02,
Committee on Foreign Affairs,AFET,Committee,124972,Ernest URTASUN,Substitute,2022-01-20,
Committee on Budgets,BUDG,Committee,197810,Nils UŠAKOVS,Member,2019-07-02,2022-01-19
Delegation for Relations with the United States,D-US,Delegation,197810,Nils UŠAKOVS,Member,2019-07-02,
Delegation to the Euronest Parliamentary Assembly,DEPA,Delegation,197810,Nils UŠAKOVS,Member,2019-07-02,
Committee on Budgets,BUDG,Committee,197810,Nils UŠAKOVS,Member,2022-01-20,
Committee on Foreign Affairs,AFET,Committee,197810,Nils UŠAKOVS,Substitute,2019-07-02,2022-01-19
"Delegation to the EU-Armenia Parliamentary Partnership Committee, the EU-Azerbaijan Parliamentary Cooperation Committee and the EU-Georgia Parliamentary Association Committee",DSCA,Delegation,197810,Nils UŠAKOVS,Substitute,2019-07-02,
Committee on Foreign Affairs,AFET,Committee,197810,Nils UŠAKOVS,Substitute,2022-01-20,2022-02-01
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,197810,Nils UŠAKOVS,Substitute,2022-01-20,
Committee of Inquiry to Investigate the Use of Pegasus and Equivalent Surveillance Spyware,PEGA,Special Committee,197810,Nils UŠAKOVS,Substitute,2023-01-17,2023-07-18
Committee on Regional Development,REGI,Committee,96698,Viktor USPASKICH,Member,2019-07-02,2021-01-20
"Delegation to the EU-Kazakhstan, EU-Kyrgyzstan, EU-Uzbekistan and EU-Tajikistan Parliamentary Cooperation Committees and for Relations with Turkmenistan and Mongolia",DCAS,Delegation,96698,Viktor USPASKICH,Member,2019-07-02,2021-01-20
"Committee on Industry, Research and Energy",ITRE,Committee,96698,Viktor USPASKICH,Member,2021-05-17,2022-01-19
"Committee on Industry, Research and Energy",ITRE,Committee,96698,Viktor USPASKICH,Member,2022-01-20,
Delegation for Northern Cooperation and for Relations with Switzerland and Norway and to the EU-Iceland Joint Parliamentary Committee and the European Economic Area Joint Parliamentary Committee,DEEA,Delegation,96698,Viktor USPASKICH,Member,2022-02-17,
Committee on Legal Affairs,JURI,Committee,96698,Viktor USPASKICH,Substitute,2019-07-02,2021-01-20
"Delegation to the EU-Armenia Parliamentary Partnership Committee, the EU-Azerbaijan Parliamentary Cooperation Committee and the EU-Georgia Parliamentary Association Committee",DSCA,Delegation,96698,Viktor USPASKICH,Substitute,2019-07-02,2021-01-20
Delegation to the Euronest Parliamentary Assembly,DEPA,Delegation,96698,Viktor USPASKICH,Substitute,2019-07-02,2021-01-20
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,28617,Inese VAIDERE,Vice-Chair,2019-09-26,
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,28617,Inese VAIDERE,Member,2019-07-02,2019-09-25
Committee on Economic and Monetary Affairs,ECON,Committee,28617,Inese VAIDERE,Member,2019-07-02,2022-01-19
Committee on Economic and Monetary Affairs,ECON,Committee,28617,Inese VAIDERE,Member,2022-01-20,
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,28617,Inese VAIDERE,Substitute,2019-07-02,2022-01-19
Delegation for Relations With the Countries of Southeast Asia and the Association of Southeast Asian Nations,DASE,Delegation,28617,Inese VAIDERE,Substitute,2019-07-02,
Delegation to the Cariforum-EU Parliamentary Committee,DCAR,Delegation,28617,Inese VAIDERE,Substitute,2020-02-12,
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,28617,Inese VAIDERE,Substitute,2022-01-20,
"Committee on Industry, Research and Energy",ITRE,Committee,37324,Adina-Ioana VĂLEAN,Chair,2019-07-10,2019-11-27
"Committee on Industry, Research and Energy",ITRE,Committee,37324,Adina-Ioana VĂLEAN,Member,2019-07-02,2019-07-09
Delegation for Relations with the United States,D-US,Delegation,37324,Adina-Ioana VĂLEAN,Member,2019-07-02,2019-11-30
Conference of Committee Chairs,CCC,Political Body,37324,Adina-Ioana VĂLEAN,Member,2019-07-10,2019-11-27
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,37324,Adina-Ioana VĂLEAN,Substitute,2019-07-02,2019-11-27
"Delegation to the EU-Armenia Parliamentary Partnership Committee, the EU-Azerbaijan Parliamentary Cooperation Committee and the EU-Georgia Parliamentary Association Committee",DSCA,Delegation,37324,Adina-Ioana VĂLEAN,Substitute,2019-07-02,2019-11-30
Delegation to the Euronest Parliamentary Assembly,DEPA,Delegation,37324,Adina-Ioana VĂLEAN,Substitute,2019-07-02,2019-11-30
Committee on Regional Development,REGI,Committee,124934,Monika VANA,Member,2019-07-02,2022-01-19
Delegation for Relations with Australia and New Zealand,DANZ,Delegation,124934,Monika VANA,Member,2019-07-02,2022-02-16
Committee on Regional Development,REGI,Committee,124934,Monika VANA,Member,2022-01-20,
Committee on Budgets,BUDG,Committee,124934,Monika VANA,Substitute,2019-07-02,2022-01-19
Committee on Women’s Rights and Gender Equality,FEMM,Committee,124934,Monika VANA,Substitute,2019-07-02,2022-01-19
Delegation for Relations with the United States,D-US,Delegation,124934,Monika VANA,Substitute,2019-07-02,
Committee on Budgets,BUDG,Committee,124934,Monika VANA,Substitute,2022-01-20,
Committee on Women’s Rights and Gender Equality,FEMM,Committee,124934,Monika VANA,Substitute,2022-01-20,
Delegation for Relations with Australia and New Zealand,DANZ,Delegation,124934,Monika VANA,Substitute,2022-02-17,
Special Committee on the COVID-19 Pandemic Lessons Learned and Recommendations for the Future,COVI,Special Committee,5729,Kathleen VAN BREMPT,Chair,2022-04-19,2023-07-18
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,5729,Kathleen VAN BREMPT,Member,2019-07-02,2019-09-17
Committee on International Trade,INTA,Committee,5729,Kathleen VAN BREMPT,Member,2019-07-02,2022-01-19
Delegation to the EU-Albania Stabilisation and Association Parliamentary Committee,D-AL,Delegation,5729,Kathleen VAN BREMPT,Member,2019-09-18,2020-02-11
"Delegation for Relations with the Maghreb countries and the Arab Maghreb Union, including the EU-Morocco, EU-Tunisia and EU-Algeria Joint Parliamentary Committees",DMAG,Delegation,5729,Kathleen VAN BREMPT,Member,2020-02-12,
Delegation for Relations with Mercosur,DMER,Delegation,5729,Kathleen VAN BREMPT,Member,2020-03-10,
Committee on International Trade,INTA,Committee,5729,Kathleen VAN BREMPT,Member,2022-01-20,
Special Committee on the COVID-19 Pandemic Lessons Learned and Recommendations for the Future,COVI,Special Committee,5729,Kathleen VAN BREMPT,Member,2022-03-24,2022-04-18
Conference of Committee Chairs,CCC,Political Body,5729,Kathleen VAN BREMPT,Member,2022-04-19,2023-07-18
Committee on Transport and Tourism,TRAN,Committee,5729,Kathleen VAN BREMPT,Substitute,2019-07-02,2022-01-19
Delegation for Relations with the Federative Republic of Brazil,D-BR,Delegation,5729,Kathleen VAN BREMPT,Substitute,2019-07-02,
Committee on Transport and Tourism,TRAN,Committee,5729,Kathleen VAN BREMPT,Substitute,2022-01-20,
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,185771,Tom VANDENDRIESSCHE,Member,2019-07-02,2022-01-19
Delegation for Relations With the Countries of Southeast Asia and the Association of Southeast Asian Nations,DASE,Delegation,185771,Tom VANDENDRIESSCHE,Member,2019-07-02,
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,185771,Tom VANDENDRIESSCHE,Member,2022-01-20,
Committee on the Internal Market and Consumer Protection,IMCO,Committee,185771,Tom VANDENDRIESSCHE,Substitute,2019-07-02,2022-01-19
Delegation to the Cariforum-EU Parliamentary Committee,DCAR,Delegation,185771,Tom VANDENDRIESSCHE,Substitute,2019-07-02,
Delegation for Relations with Japan,D-JP,Delegation,185771,Tom VANDENDRIESSCHE,Substitute,2019-07-02,
Delegation for Relations with South Africa,D-ZA,Delegation,185771,Tom VANDENDRIESSCHE,Substitute,2019-07-02,
Committee on the Internal Market and Consumer Protection,IMCO,Committee,185771,Tom VANDENDRIESSCHE,Substitute,2022-01-20,
Delegation for Relations with the NATO Parliamentary Assembly,DNAT,Delegation,129164,Tom VANDENKENDELAERE,Chair,2021-02-25,
Delegation for Relations with the NATO Parliamentary Assembly,DNAT,Delegation,129164,Tom VANDENKENDELAERE,Member,2021-02-08,2021-02-24
Committee on the Internal Market and Consumer Protection,IMCO,Committee,129164,Tom VANDENKENDELAERE,Member,2021-02-08,2022-01-19
Subcommittee on Security and Defence,SEDE,Subcommittee,129164,Tom VANDENKENDELAERE,Member,2021-02-08,2022-01-19
Delegation for Relations With Iran,D-IR,Delegation,129164,Tom VANDENKENDELAERE,Member,2021-02-08,
Conference of Delegation Chairs,CDC,Political Body,129164,Tom VANDENKENDELAERE,Member,2021-02-25,
Delegation to the EU-UK Parliamentary Partnership Assembly,D-UK,Delegation,129164,Tom VANDENKENDELAERE,Member,2021-10-18,
Committee on the Internal Market and Consumer Protection,IMCO,Committee,129164,Tom VANDENKENDELAERE,Member,2022-01-20,
Subcommittee on Security and Defence,SEDE,Subcommittee,129164,Tom VANDENKENDELAERE,Member,2022-01-20,
Committee on Foreign Affairs,AFET,Committee,129164,Tom VANDENKENDELAERE,Substitute,2021-02-05,2022-01-19
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,129164,Tom VANDENKENDELAERE,Substitute,2021-02-05,2022-01-19
Delegation for Relations with the People's Republic of China,D-CN,Delegation,129164,Tom VANDENKENDELAERE,Substitute,2021-02-05,
